Question Text,Option A,Option B,Option C,Option D,Correct Answer
What is the capital of France?,London,Berlin,Paris,Madrid,C
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,B
What is 2 + 2?,3,4,5,6,B
Who wrote Romeo and Juliet?,Charles Dickens,William Shakespeare,Mark Twain,Jane Austen,B
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,D
What is the chemical symbol for gold?,Go,Au,Gd,Ag,B
How many continents are there?,5,6,7,8,C
What year did World War II end?,1943,1944,1945,1946,C
What is the smallest prime number?,0,1,2,3,C
Which programming language is known for web development?,Python,JavaScript,C++,Java,B
What is the square root of 144?,10,11,12,13,C
Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Michelangelo,C
What is the boiling point of water in Celsius?,90,95,100,105,C
Which element has the atomic number 1?,Helium,Hydrogen,Oxygen,Carbon,B
What is the largest mammal?,African Elephant,Blue Whale,Giraffe,Polar Bear,B
In which country is the Great Pyramid of Giza?,Mexico,Egypt,Peru,China,B
What is 10 x 10?,10,100,1000,10000,B
Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C
What is the currency of Japan?,Yuan,Won,Yen,Ringgit,C
Who developed the theory of relativity?,Isaac Newton,Albert Einstein,Nikola Tesla,Stephen Hawking,B